type	color	url
shirt	blue	https://rukminim1.flixcart.com/image/704/704/jabdw280/shirt/6/p/n/38-kpc-121-fd-fs-fp-koolpals-original-imaecqp8yadyavcz.jpeg?q=70
shirt	blue	https://dapperhomme.co/wp-content/uploads/2018/07/DHSH1855_2.jpg
shirt	blue	https://arasanshirts.com/wp-content/uploads/2018/09/ARSN0718018-W.jpg
shirt	blue	https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/998930/2015/9/24/11443093491399-Shaftesbury-London-Men-Shirts-541443093491120-1.jpg
shirt	blue	https://rukminim1.flixcart.com/image/704/704/shirt/s/h/y/46-bfrybluesht02-being-fab-original-imaekjr8ymhnxznp.jpeg?q=70
shirt	blue	https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7782685/2018/11/15/b1675fba-9cd7-47f4-baff-52220a54b4b71542265761644-Mens-Shirts-841542265761504-1.jpg
shirt	blue	https://cdn.shopify.com/s/files/1/1869/9053/products/14_1_450x460.jpg?v=1559571163
shirt	blue	https://www.cottsun.com/wp-content/uploads/2018/10/blueshirt.jpeg
shirt	blue	https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1304671/2016/4/14/11460624898615-Hancock-Men-Shirts-8481460624898035-1.jpg
shirt	blue	https://a3655836d5c58a086ac2-4e8d43a89f100386d472e9f1a1dc59ca.ssl.cf3.rackcdn.com/images/extralarge/a6863e48-911a-4622-80af-64b75f3fbbde.jpg
shirt	blue	https://www.trybuy.in/wp-content/uploads/2018/09/IMG-20180918-WA0024-copy.jpg
shirt	blue	https://www.ruhrepublic.com/wp-content/uploads/2018/12/Ruh-Republic-mens-Sky-BlueChecked-Slim-Fit-formal-shirt-3.jpg
shirt	blue	https://www.monark.com.pk/pub/media/catalog/product/cache/fb429d21c17c7c40c56851fb2717af0b/m/r/mrs4-02_1.jpg
shirt	blue	https://peterengland.imgix.net/img/app/product/3/315466-1455987.jpg?auto=format&w=219
shirt	blue	https://ealpha.com/34579-thickbox_default/men-s-dark-blue-formal-shirt.jpg
shirt	blue	https://www.ruhrepublic.com/wp-content/uploads/2018/12/Ruh-Republic-mens-Navy-BlueChecked-Slim-Fit-formal-shirt-3.jpg
shirt	blue	https://i.pinimg.com/originals/84/43/8c/84438c44f728079e3a1da539eacc7472.jpg
shirt	blue	https://cdn.shopify.com/s/files/1/1380/5085/products/43560_BLUE_1_1024x1024.jpg?v=1525781225
shirt	blue	https://rukminim1.flixcart.com/image/832/832/jmnrtzk0-1/shirt/c/b/q/xxl-wht-meshblue-u-turn-original-imaf9amgsyqhqnf3.jpeg?q=70
shirt	blue	https://www.ruhrepublic.com/wp-content/uploads/2018/07/mens-blue-and-pink-checked-slim-fit-formal-shirt-5.jpg
shirt	blue	https://vanheusenindia.imgix.net/img/app/product/4/41524-106388.jpg
shirt	blue	https://peterengland.imgix.net/img/app/product/8/87482-1221154.jpg?auto=format&w=219
shirt	blue	https://images.burton.co.uk/i/Burton/BR19F24NBLU_M_1.jpg?$w700$
shirt	blue	https://cdn.andamen.com/media/catalog/product/cache/1/list_image/040ec09b1e35df139433887a97daa66f/s/t/stretch-blue-normal-new.jpg
shirt	blue	http://staticawsy.yepme.com/newcampaign/7639/76392_ypxl_1.jpg
shirt	blue	https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/3117528/2018/3/10/11520666580743-JAINISH-Men-Green-Classic-Slim-Fit-Solid-Formal-Shirt-3021520666580542-1.jpg
shirt	blue	https://www.ungoor.com/wp-content/uploads/2014/12/BLW0111.MAIN-copy-1.jpg
shirt	blue	https://i.pinimg.com/originals/23/d2/5a/23d25ad96b238233f2e38176db1d8379.jpg
shirt	blue	https://img.tatacliq.com/images/i3/252Wx374H/MP000000004603161_252Wx374H_20190404050551.jpeg
shirt	blue	https://assets.ajio.com/medias/sys_master/root/h07/hf8/12916169572382/netplay_blue_classic_shirt_with_patch_pocket.jpg
shirt	blue	https://images-na.ssl-images-amazon.com/images/I/61cotwyaPSL._UX466_.jpg
shirt	blue	https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2430371/2018/1/29/11517222460982-na-4851517222460837-1.jpg
shirt	blue	https://images.burton.co.uk/i/Burton/BR19F04OBLU_M_1.jpg?$w700$
shirt	blue	https://images.tailorstore.com/YToyOntzOjU6IndpZHRoIjtpOjExNTI7czo2OiJoZWlnaHQiO2I6MDt9/images/catalog/Ramalde12432.jpg
shirt	blue	https://assets.jassets.com/h_533,q_95,w_391/v1/assets/images/productimage/2018/11/29/22cc00d0-ff7b-485d-be0d-b348317248d11543491167132-1.jpg
shirt	blue	https://www.peter-england.co.uk/media/catalog/product/cache/7/image/1500x/040ec09b1e35df139433887a97daa66f/p/e/pe7402-128.jpg
shirt	blue	https://www.s9fashion.com/userdata/gfx/3a16b13ed952249acad2c2b2f6a89701.jpg
shirt	blue	https://peterengland.imgix.net/img/app/product/2/256970-978927-large.jpg?auto=format&w=220
shirt	blue	https://lexington.centracdn.net/client/dynamic/images/10453_883e61dbde-21911200_587_11-zoom.jpg
shirt	blue	https://www.hawesandcurtis.co.uk/images/products/mens-formal-light-blue-and-white-floral-print-slim-fit-cotton-stretch-shirt-single-cuff-SSDMT013-B46-126897-500px-650px.jpg
shirt	blue	https://ealpha.com/35848-thickbox_default/men-s-polka-dot-printed-shirt.jpg
shirt	blue	https://www.tmlewin.co.uk/dw/image/v2/BBQF_PRD/on/demandware.static/-/Sites-tml-catalog-en/default/dw15d6661c/images/original/62720.jpg?sw=270&sh=330&sm=fit
shirt	blue	https://stylesatlife.com/wp-content/uploads/2017/06/30-Stylish-Beautiful-Formal-Shirts-for-Men-in-Trend.jpg
shirt	blue	https://vanheusenindia.imgix.net/img/app/product/2/250141-921816.jpg?auto=format&w=206
shirt	blue	https://d3o4bd41oa9c2r.cloudfront.net/osafe_theme/images/catalog/FashionCatalogue/PLP/1110032949011_F_PLP.jpg
shirt	blue	https://louisphilippe.imgix.net/img/app/product/1/162492-355914.jpg?auto=format&w=206
shirt	blue	http://staticawsy.yepme.com/newcampaign/7644/76445_ypxl_1.jpg
